CampagneID,Canal,Budget
1,SEO,2204
2,SEO,862
3,Email,3104
4,SEO,2216
5,Publicité,4951
6,Réseaux sociaux,4786
7,Publicité,4238
8,SEO,2969
9,Email,1056
10,Réseaux sociaux,1325
11,SEO,3308
12,SEO,3219
13,Email,4008
14,Email,4241
15,Publicité,2074
16,Réseaux sociaux,4498
17,Réseaux sociaux,2629
18,Email,2903
19,Publicité,3829
20,Réseaux sociaux,1088
21,Email,2512
22,SEO,2047
23,Réseaux sociaux,794
24,Publicité,2485
25,Publicité,3617
26,Publicité,2190
27,SEO,1636
28,Réseaux sociaux,2564
29,Réseaux sociaux,4955
30,SEO,1507
31,Réseaux sociaux,3014
32,SEO,4026
33,SEO,1747
34,SEO,4402
35,Publicité,1935
36,Réseaux sociaux,1071
37,SEO,2882
38,Réseaux sociaux,1745
39,Publicité,2584
40,SEO,777
41,Email,2387
42,Publicité,1765
43,Email,1540
44,Réseaux sociaux,1417
45,Réseaux sociaux,1385
46,Publicité,3252
47,Réseaux sociaux,521
48,Email,3691
49,SEO,2853
50,SEO,1186
51,SEO,784
52,Publicité,4247
53,Réseaux sociaux,1262
54,Email,2928
55,Réseaux sociaux,3007
56,Réseaux sociaux,528
57,Réseaux sociaux,1406
58,SEO,3604
59,Email,4499
60,Email,3494
