ConversionID,UserID,ProduitID,Montant,Canal
1,19,4,49.99,SEO
2,36,2,49.99,SEO
3,29,2,29.99,SEO
4,60,4,49.99,Email
5,82,3,89.99,Direct
6,2,1,49.99,Publicité
7,1,3,89.99,Email
8,47,5,29.99,Direct
9,69,4,59.99,Email
10,20,3,49.99,Publicité
11,11,2,59.99,Direct
12,2,5,89.99,Email
13,67,5,49.99,Publicité
14,87,3,69.99,SEO
15,12,3,59.99,Publicité
16,20,4,49.99,SEO
17,5,1,59.99,Email
18,37,3,49.99,Direct
19,38,3,29.99,Direct
20,94,2,59.99,Email
21,9,5,69.99,Direct
22,98,1,69.99,Direct
23,53,2,89.99,SEO
24,44,4,49.99,Email
25,99,4,59.99,Publicité
26,86,3,89.99,SEO
27,24,3,59.99,Email
28,81,4,49.99,SEO
29,74,3,69.99,Publicité
30,30,1,29.99,Publicité
31,59,3,69.99,Email
32,87,5,89.99,Publicité
33,96,3,29.99,SEO
34,81,2,89.99,Publicité
35,81,1,49.99,SEO
36,14,2,29.99,SEO
37,9,2,89.99,Publicité
38,40,5,49.99,Email
39,66,1,69.99,Direct
40,25,1,49.99,Publicité
41,73,1,59.99,SEO
42,22,1,49.99,SEO
43,4,1,49.99,Publicité
44,26,5,59.99,Email
45,58,3,89.99,Email
46,29,2,89.99,SEO
47,98,1,49.99,SEO
48,87,3,59.99,Email
49,37,3,59.99,Direct
50,75,2,69.99,Publicité
51,70,5,89.99,SEO
52,18,4,29.99,SEO
53,85,4,89.99,Email
54,42,3,89.99,Publicité
55,100,2,69.99,Email
56,41,4,29.99,Publicité
57,38,3,69.99,Publicité
58,34,5,29.99,Publicité
59,17,4,49.99,SEO
60,37,3,29.99,Direct
61,25,3,69.99,Email
62,76,1,89.99,Direct
63,87,5,29.99,Email
64,86,1,29.99,Publicité
65,85,2,59.99,SEO
66,27,1,89.99,Direct
67,57,1,49.99,SEO
68,31,4,69.99,Email
69,6,3,49.99,SEO
70,91,5,89.99,SEO
71,40,1,29.99,Direct
72,98,5,29.99,Publicité
73,12,1,89.99,SEO
74,53,2,29.99,Publicité
75,71,1,29.99,Email
76,10,4,29.99,SEO
77,45,3,69.99,Direct
78,17,2,69.99,Email
79,26,1,59.99,Email
80,85,5,49.99,Direct
