SessionID,UserID,Source,Durée_sec,ProduitConsulté
1,51,SEO,587,3
2,86,Email,84,3
3,57,SEO,444,2
4,29,Email,112,4
5,78,SEO,431,1
6,92,Email,315,5
7,69,SEO,107,2
8,47,Direct,344,1
9,94,Publicité,444,2
10,62,SEO,456,3
11,69,Email,317,5
12,76,Direct,258,1
13,16,SEO,175,1
14,90,SEO,490,1
15,90,Direct,344,1
16,48,SEO,551,1
17,85,Publicité,115,2
18,39,SEO,572,5
19,100,Publicité,90,3
20,33,Publicité,142,3
21,94,Direct,147,3
22,23,SEO,193,3
23,10,Direct,410,2
24,69,SEO,339,4
25,100,SEO,517,5
26,34,Email,78,1
27,52,SEO,555,4
28,95,Direct,62,3
29,10,Publicité,459,4
30,19,SEO,214,5
31,58,Email,135,1
32,96,Direct,52,1
33,1,SEO,120,5
34,69,Direct,192,5
35,4,Email,104,3
36,16,Email,383,1
37,24,Direct,529,4
38,80,SEO,369,2
39,2,Publicité,290,2
40,92,Email,204,5
41,32,SEO,204,3
42,91,SEO,102,2
43,84,Publicité,70,1
44,24,Email,60,5
45,12,Email,412,4
46,50,SEO,14,5
47,35,SEO,475,4
48,33,Publicité,543,5
49,33,Publicité,414,5
50,61,Email,522,5
51,51,Direct,242,4
52,43,Email,533,4
53,12,SEO,355,5
54,67,Email,55,2
55,65,Direct,555,3
56,33,Publicité,87,3
57,40,Direct,82,3
58,74,Direct,258,4
59,43,Direct,56,4
60,44,Publicité,130,2
61,29,Direct,223,3
62,13,Direct,248,3
63,12,Direct,65,5
64,95,SEO,359,4
65,46,Direct,116,3
66,2,Publicité,57,2
67,35,Direct,582,2
68,87,Direct,346,3
69,81,Publicité,35,4
70,90,Direct,266,2
71,8,Publicité,17,5
72,93,Direct,262,2
73,26,Publicité,312,1
74,74,Direct,65,1
75,90,Direct,535,4
76,34,SEO,483,3
77,7,SEO,37,4
78,68,Direct,87,4
79,58,Direct,225,4
80,75,Email,395,4
81,29,Publicité,374,5
82,36,Email,535,5
83,89,SEO,321,2
84,21,SEO,16,1
85,36,SEO,12,4
86,10,SEO,372,2
87,73,Direct,517,1
88,24,SEO,283,3
89,64,Direct,515,5
90,99,Direct,24,1
91,49,SEO,201,3
92,99,SEO,494,1
93,36,Publicité,37,5
94,82,Email,48,5
95,96,SEO,282,2
96,24,Publicité,240,4
97,23,Publicité,95,1
98,62,Email,483,1
99,96,Direct,135,3
100,37,SEO,546,5
101,12,Email,154,1
102,55,SEO,534,5
103,13,Publicité,221,1
104,23,Publicité,34,2
105,89,Direct,589,4
106,99,Publicité,403,1
107,30,Publicité,76,5
108,17,Email,242,2
109,62,SEO,118,1
110,84,SEO,155,3
111,89,Email,120,4
112,86,Direct,237,1
113,13,SEO,120,2
114,59,Publicité,479,3
115,19,SEO,43,2
116,49,Publicité,378,2
117,100,Direct,563,3
118,12,Email,434,2
119,61,SEO,527,3
120,19,Email,291,1
121,76,SEO,329,3
122,9,Publicité,452,3
123,71,Email,324,4
124,28,SEO,386,3
125,78,Publicité,298,3
126,95,Email,446,1
127,52,Email,286,4
128,83,SEO,591,5
129,16,SEO,512,1
130,69,SEO,525,1
131,99,Publicité,359,5
132,12,SEO,455,3
133,25,Email,359,2
134,52,Email,146,4
135,85,SEO,252,2
136,100,SEO,552,5
137,53,Direct,49,1
138,23,Email,238,1
139,16,Publicité,557,4
140,57,Direct,232,1
141,39,SEO,15,1
142,53,SEO,331,4
143,42,Email,477,4
144,58,SEO,84,5
145,39,Publicité,13,1
146,14,Email,127,1
147,95,SEO,513,5
148,5,Email,583,3
149,35,SEO,450,3
150,87,SEO,203,3
151,93,SEO,401,5
152,75,Publicité,35,1
153,18,Publicité,444,5
154,76,Email,182,5
155,9,SEO,309,3
156,74,SEO,335,2
157,58,Publicité,419,1
158,17,SEO,127,3
159,7,Publicité,234,2
160,46,SEO,541,2
161,13,Email,122,4
162,40,SEO,149,1
163,42,SEO,568,2
164,9,Direct,10,3
165,50,Publicité,99,4
166,27,SEO,329,1
167,66,SEO,559,5
168,5,Direct,148,3
169,29,Direct,520,2
170,37,Publicité,268,2
171,38,Direct,19,3
172,83,Email,270,2
173,8,Direct,181,4
174,65,Email,22,1
175,86,Publicité,177,4
176,17,Publicité,330,2
177,71,Publicité,328,5
178,89,Publicité,338,1
179,45,Publicité,559,1
180,4,Email,428,3
181,36,Email,104,3
182,70,Publicité,590,5
183,31,Direct,327,1
184,19,SEO,245,5
185,61,Publicité,343,3
186,54,Direct,385,3
187,39,SEO,468,1
188,91,Publicité,146,4
189,74,Publicité,597,2
190,90,Email,556,3
191,19,SEO,522,3
192,39,SEO,305,4
193,67,Direct,329,4
194,45,Email,581,5
195,13,Email,358,5
196,92,Email,238,2
197,58,Email,279,2
198,20,SEO,300,1
199,92,SEO,174,5
200,72,Publicité,14,3
