UserID,Age,Genre,Pays,Appareil
1,56,Femme,France,Mobile
2,46,Homme,France,Desktop
3,32,Homme,Belgique,Desktop
4,25,Homme,Suisse,Desktop
5,38,Femme,Suisse,Mobile
6,56,Femme,Belgique,Mobile
7,36,Femme,Belgique,Mobile
8,40,Homme,Suisse,Desktop
9,28,Femme,Suisse,Mobile
10,28,Homme,Canada,Tablette
11,41,Autre,Canada,Mobile
12,53,Femme,Belgique,Mobile
13,57,Femme,Canada,Desktop
14,41,Homme,France,Desktop
15,20,Homme,Canada,Tablette
16,39,Homme,Canada,Mobile
17,19,Femme,France,Mobile
18,41,Homme,Belgique,Mobile
19,47,Homme,France,Tablette
20,55,Homme,Canada,Mobile
21,19,Femme,Belgique,Mobile
22,38,Femme,Canada,Mobile
23,50,Femme,France,Mobile
24,29,Femme,France,Mobile
25,39,Homme,Canada,Mobile
26,42,Femme,Suisse,Mobile
27,44,Femme,Suisse,Desktop
28,59,Homme,France,Tablette
29,45,Autre,France,Mobile
30,33,Femme,Suisse,Mobile
31,32,Femme,Suisse,Desktop
32,20,Femme,Canada,Mobile
33,54,Femme,Canada,Mobile
34,24,Homme,Suisse,Mobile
35,38,Homme,Canada,Mobile
36,26,Femme,Canada,Desktop
37,56,Homme,Belgique,Mobile
38,35,Homme,Canada,Desktop
39,21,Femme,France,Mobile
40,42,Homme,Canada,Mobile
41,31,Homme,Canada,Mobile
42,26,Homme,Suisse,Mobile
43,43,Autre,France,Desktop
44,19,Homme,Canada,Mobile
45,37,Femme,Canada,Mobile
46,45,Homme,Belgique,Desktop
47,24,Homme,Canada,Mobile
48,25,Homme,Canada,Mobile
49,52,Homme,Belgique,Mobile
50,31,Femme,Suisse,Mobile
51,34,Femme,Canada,Desktop
52,53,Femme,Belgique,Mobile
53,57,Homme,France,Mobile
54,21,Homme,Suisse,Mobile
55,19,Homme,France,Desktop
56,23,Homme,France,Mobile
57,59,Femme,Belgique,Mobile
58,21,Homme,Canada,Tablette
59,46,Homme,Belgique,Desktop
60,35,Homme,Belgique,Desktop
61,43,Homme,Belgique,Mobile
62,51,Femme,Belgique,Mobile
63,27,Femme,Suisse,Mobile
64,53,Homme,Canada,Mobile
65,31,Autre,France,Mobile
66,48,Homme,France,Desktop
67,32,Autre,Canada,Mobile
68,25,Homme,France,Tablette
69,31,Homme,Canada,Mobile
70,40,Homme,France,Desktop
71,57,Femme,Belgique,Mobile
72,38,Femme,France,Mobile
73,33,Femme,Canada,Desktop
74,35,Homme,Canada,Mobile
75,41,Femme,Canada,Mobile
76,43,Femme,Canada,Tablette
77,42,Homme,Canada,Desktop
78,58,Homme,Suisse,Mobile
79,46,Homme,Suisse,Mobile
80,32,Femme,France,Mobile
81,18,Femme,Canada,Desktop
82,42,Autre,France,Mobile
83,24,Homme,Canada,Mobile
84,26,Femme,Canada,Mobile
85,41,Femme,Suisse,Mobile
86,18,Homme,Suisse,Desktop
87,25,Femme,Belgique,Mobile
88,41,Femme,Suisse,Tablette
89,28,Femme,Belgique,Mobile
90,34,Homme,Belgique,Mobile
91,25,Homme,Belgique,Mobile
92,52,Femme,Belgique,Mobile
93,52,Femme,Belgique,Tablette
94,50,Homme,France,Desktop
95,22,Homme,Suisse,Mobile
96,59,Autre,Belgique,Desktop
97,56,Homme,Canada,Mobile
98,58,Femme,Suisse,Desktop
99,45,Femme,Suisse,Mobile
100,24,Femme,Belgique,Mobile
