id_produit,nom_produit,categorie,sous_categorie,sexe,taille,couleur,prix_unitaire,cout_production,quantite_stock
AS783,Accessoires Sacs,Accessoires,Sacs,Homme,S,Rouge,162.44,59.71,2
AC931,Accessoires Casquettes,Accessoires,Casquettes,Homme,XS,Bleu,83.02,45.35,3
CB960,Chaussures Basketball,Chaussures,Basketball,Homme,35,Blanc,121.42,43.16,55
VT864,Vetements T-shirts,Vetements,T-shirts,Homme,XL,Jaune,138.87,66.79,48
AS233,Accessoires Sacs,Accessoires,Sacs,Femme,S,Noir,205.56,80.54,99
VT185,Vetements T-shirts,Vetements,T-shirts,Femme,L,Vert,165.52,77.94,40
VS697,Vetements Shorts,Vetements,Shorts,Femme,XL,Jaune,197.72,111.85,73
CR305,Chaussures Running,Chaussures,Running,Unisexe,37,Vert,207.09,120.03,93
AC303,Accessoires Casquettes,Accessoires,Casquettes,Femme,XS,Rouge,198.84,79.33,36
CF942,Chaussures Football,Chaussures,Football,Homme,42,Bleu,85.39,33.7,35
CF758,Chaussures Football,Chaussures,Football,Femme,40,Rouge,242.47,86.03,35
CB252,Chaussures Basketball,Chaussures,Basketball,Unisexe,44,Jaune,79.58,31.48,11
VS557,Vetements Shorts,Vetements,Shorts,Unisexe,M,Vert,50.71,26.76,6
CR514,Chaussures Running,Chaussures,Running,Femme,43,Bleu,93.89,50.84,66
CB775,Chaussures Basketball,Chaussures,Basketball,Unisexe,42,Blanc,220.5,69.48,24
VT794,Vetements T-shirts,Vetements,T-shirts,Unisexe,L,Bleu,159.7,65.06,46
VS684,Vetements Sweats,Vetements,Sweats,Unisexe,XS,Noir,274.18,99.79,70
CR455,Chaussures Running,Chaussures,Running,Unisexe,38,Vert,152.26,64.76,50
AC593,Accessoires Chaussettes,Accessoires,Chaussettes,Unisexe,XL,Jaune,85.76,38.14,44
AS785,Accessoires Sacs,Accessoires,Sacs,Homme,XS,Jaune,245.11,133.5,85
AS915,Accessoires Sacs,Accessoires,Sacs,Homme,S,Vert,205.75,73.33,69
CF241,Chaussures Football,Chaussures,Football,Homme,40,Blanc,54.4,29.55,24
VT766,Vetements T-shirts,Vetements,T-shirts,Homme,M,Bleu,70.43,27.54,39
AC349,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XS,Bleu,225.59,89.94,24
AC981,Accessoires Chaussettes,Accessoires,Chaussettes,Homme,S,Vert,78.97,34.96,41
AC733,Accessoires Casquettes,Accessoires,Casquettes,Homme,L,Bleu,125.28,53.09,55
CF920,Chaussures Football,Chaussures,Football,Homme,36,Blanc,126.12,42.05,40
VT681,Vetements T-shirts,Vetements,T-shirts,Femme,L,Rouge,287.01,137.64,62
AC118,Accessoires Chaussettes,Accessoires,Chaussettes,Femme,XS,Bleu,241.88,140.83,53
