id_vente,id_produit,quantite_vendue,date_vente,pays_vente,ville_vente,chiffre_affaires
1,AS783,0,2023-05-29,Bosnia and Herzegovina,Paulberg,0.0
2,AC931,1,2023-04-16,Serbia,South Samantha,83.02
3,CB960,50,2023-05-16,Marshall Islands,South Katie,6071.0
4,VT864,6,2023-06-10,Uzbekistan,Myersfurt,833.22
5,AS233,80,2023-01-03,Dominica,North Jerry,16444.8
6,VT185,17,2023-02-05,Dominica,South Tinaburgh,2813.84
7,VS697,7,2023-10-03,Saint Pierre and Miquelon,West Jessica,1384.04
8,CR305,90,2023-03-26,Cote d'Ivoire,East David,18638.1
9,AC303,32,2023-07-01,San Marino,Bakerborough,6362.88
10,CF942,28,2023-12-31,Mali,Stevefurt,2390.92
11,CF758,6,2023-08-28,Czech Republic,Ramirezmouth,1454.82
12,CB252,5,2023-08-07,Uruguay,Robertfort,397.9
13,VS557,3,2023-03-04,Oman,Lake Laura,152.13
14,CR514,16,2023-11-19,Slovakia (Slovak Republic),South Brentland,1502.24
15,CB775,17,2023-06-16,Uzbekistan,Port Allen,3748.5
16,VT794,12,2023-10-13,Malta,South Richard,1916.4
17,VS684,26,2023-10-03,Montserrat,Millerside,7128.68
18,CR455,45,2023-10-19,Finland,South Anthony,6851.7
19,AC593,28,2023-11-21,Cambodia,Michaelton,2401.28
20,AS785,27,2023-11-29,Tonga,North Cindy,6617.97
21,AS915,30,2023-12-10,French Southern Territories,Lake Ruth,6172.5
22,CF241,19,2023-02-12,Kuwait,South Peterland,1033.6
23,VT766,8,2023-12-20,Rwanda,Michaelville,563.44
24,AC349,14,2023-10-21,Guernsey,North Christymouth,3158.26
25,AC981,34,2023-04-14,Luxembourg,Lake Karen,2684.98
26,AC733,43,2023-05-12,Georgia,Jonesshire,5387.04
27,CF920,31,2023-07-01,Monaco,New Jeffreychester,3909.72
28,VT681,36,2023-01-27,Iceland,Scottberg,10332.36
29,AC118,17,2023-01-24,Rwanda,North Sydney,4111.96
30,AC273,8,2023-08-12,British Indian Ocean Territory (Chagos Archipelago),Bernardberg,1953.36
